"year","date_stop","count_u","total_marks_released_M","total_recaps_r","discharge"
2025,2025-05-07,13,0,0,6.09
2025,2025-05-08,3,3,0,5.75
2025,2025-05-09,2,2,0,5.38
2025,2025-05-10,2.5,0,0,5.07
2025,2025-05-11,7.5,0,0,4.91
2025,2025-05-12,14.5,0,0,4.7
2025,2025-05-13,13,13,0,4.45
2025,2025-05-14,16,15,0,4.26
2025,2025-05-15,52.6666666666667,0,0,4.17
2025,2025-05-16,129,0,5,4.75
2025,2025-05-17,51,0,0,8.25
2025,2025-05-18,68.5,0,0,7.79
2025,2025-05-19,5.5,0,0,11.1
2025,2025-05-20,8,7,0,39.5
2025,2025-05-21,3,3,0,25.8
2025,2025-05-22,4,4,0,16.9
2025,2025-05-23,3.5,0,0,12.9
2025,2025-05-24,5.5,0,0,10.7
2025,2025-05-25,4.5,0,0,9.33
2025,2025-05-26,7,7,0,9.22
2025,2025-05-27,2,0,0,8.77
2025,2025-05-28,13,13,0,7.66
2025,2025-05-29,2,3,1,7.98
2025,2025-05-30,3,0,0,7.98
