"year","infill_method","MAPE","MAE_w0","MAE_no0","MASE"
2024,"coho_subyearling_kal.arima",0.93493877948926,67.1751943365777,67.1751943365777,0.251592488151976
2024,"coho_subyearling_interp.stine",1.60888789092088,91.9308106739499,91.9308106739499,0.344310152336891
2024,"coho_subyearling_kal.structs",2.34253764197577,93.7234609598985,93.7234609598985,0.35102419835168
2024,"coho_subyearling_interp.linear",1.29267595315402,95.3571428571428,95.3571428571428,0.357142857142857
2024,"coho_subyearling_MA.exp3",1.31342888337248,138.346753246753,138.346753246753,0.518152633882971
2024,"coho_subyearling_MA.exp2",1.31814118495979,138.459848484848,138.459848484848,0.51857621155374
2024,"coho_subyearling_MA.linear3",1.14749204495316,145.178663003663,145.178663003663,0.543740310875142
2024,"coho_subyearling_MA.linear2",1.16375807059418,145.569047619048,145.569047619048,0.545202425539504
2024,"coho_subyearling_MA.simp3",0.910694063716634,155.291666666667,155.291666666667,0.581616729088639
2024,"coho_subyearling_MA.simp2",0.940207952605523,156,156,0.584269662921348
2025,"coho_subyearling_MA.simp2",3.07018528276569,43.8148148148148,43.8148148148148,1.17230273752013
2025,"coho_subyearling_MA.simp3",3.07018528276569,43.8148148148148,43.8148148148148,1.17230273752013
2025,"coho_subyearling_MA.linear2",3.86592090767004,52.1743386243386,52.1743386243386,1.39596892640371
2025,"coho_subyearling_MA.linear3",3.86592090767004,52.1743386243386,52.1743386243386,1.39596892640371
2025,"coho_subyearling_interp.linear",4.41318623885629,56.8314814814815,56.8314814814815,1.52057475535736
2025,"coho_subyearling_kal.structs",4.41318623885629,56.8314814814815,56.8314814814815,1.52057475535736
2025,"coho_subyearling_MA.exp2",4.50871514680273,58.9444444444444,58.9444444444444,1.57710888145671
2025,"coho_subyearling_MA.exp3",4.50871514680273,58.9444444444444,58.9444444444444,1.57710888145671
2025,"coho_subyearling_kal.arima",4.8929077724132,60.5623255398588,60.5623255398588,1.62039666996278
2025,"coho_subyearling_interp.stine",5.28218945572958,63.1436513767899,63.1436513767899,1.68946224419505
